masked_acct,MoodysUVIDiffCOFromOrig,VehicleValueBlackBook,FinancedAmt,PaymentAmt,TotalDownPmt,ChargeOffMOB,FICOScore,true_recovery_rate
0001374cd7856b8999ef0b661d515142,2.39,6100,10397.4502,282.2,750,15,535,0.1856
000170f205857037065589a606caae25,1.49,17575,22360.25,538.19,2000,8,652,0.5442
00060788de8277720911f32a3b355754,-7.92,11225,11444.6602,278.61,4000,27,534,0
000b9612a76d2800a8daad266c9e1eb1,-7.78,14050,16533.8203,377.5,1500,18,467,0.3586
000c9915e9eb935ee32c691e2f3efb49,0.56,10700,15157.8096,347.81,1200,8,495,0.5889
00204ddf75ae840de9e6a8c1ee41ff14,-5.98,5225,9369.4502,277.64,2000,33,,0.2991
0031690a89912e70c2abe27684a817dc,3.08,9925,13874.2998,336.55,1000,15,,0.3246
0032b0f87e43f69229327a9a296e5f70,-7.24,12925,15544,371.04,3500,12,,0.2974
003847952f99d78e7ce971e49ef2e143,-4.5,22850,20197.1309,426.9,14251,10,,0.9667
00397dc0d4b5764917074e09a557c75d,-5.29,9950,15307.79,344.03,4000,21,510,0.4162
00494673348b01c70ac9401449190c94,-7.49,18225,23230.8594,581.99,3500,28,431,0.0524
004f46ba2bc71a24eeb093f72eab54fa,-5.03,11725,16251.4102,364.09,2300,17,,0.0394
0054747830b47d5aac79ee490ce7e2e5,-6.41,13300,20338.4492,452.96,-2500,33,508,0.5726
00551482b437559fb0915c2e11f39348,-0.81,13550,20150.3496,466.19,2500,12,,0.4881
00603efd1cfc4dcede071249cfa529a7,-9.52,10025,13919.1904,337.99,1300,32,,0
0067c469da6dde36bbaa4c7818d7db3c,-6.86,9500,11677.7002,339.25,3600,25,547,0.3292
006a4910a55acafb206811059f60fc49,-0.14,14425,17114.1406,421.01,2500,6,,0.6882
006f12cd85e27fe816ecd762768d6e54,-4.09,10675,12686.9404,345.29,2500,26,597,0.5656
0071e99205b2bab6ad71b346f9aba5d6,-1.45,10775,16763.1602,448.96,1500,16,555,0.4578
0074dd1a10e388851f11a6492ad7ea0a,-0.79,10675,14545.25,372.32,1600,8,509,0.6286
0077843a779ac0d1a2fb56698dde9ad4,-1.59,15425,20566.5996,463.66,1798,15,500,0.5546
00795d72397230104c3d9cae8caf6bff,-6.86,10900,14938,338.95,1000,25,,0.0378
007b78a6aade8abaa4ddb71b9f61b03d,-7.12,21300,31386.5,693.88,2000,34,496,0.5837
008515bf54ca6be0ebcb0c402118d91e,-1.58,11950,21380.8203,475.96,1333.15,13,488,0.3576
0085716685a127bf950f11bd47361f3f,-8.08,14475,17631.9199,407.51,1300,25,536,0.6225
0086e5822aa0513d7f7d1e4da02f204e,0.23,9975,12960,332.52,2000,19,,0.0518
008c4aecb7fd1176126ebd94e2889cff,-8.17,10600,15368.0303,405.73,3000,24,546,0.2951
008ef6980e9d8848b7e0f1193fde83ef,-1.81,9800,11782.1504,297.45,6000,14,484,0.4943
0099c2a8a920ff36f05c4101d6befd58,-1.93,14900,15270,408.64,1500,26,,0.4602
009c7488eef0db96f1fd4eeda31f0c81,-8.08,10725,11514,307.07,5000,22,472,0
00a34ae65c69e552a57aac6b0af955af,-3.49,14175,22577,493.11,1500,17,,0.4367
00a397bf7fd3e502b545477c3dd9cd8a,-11.63,10975,14430.0996,350.56,2500,36,,0.378
00a9b51f46dace8abbd4383f8edb70cc,-8.78,11650,18122.5,485.19,3500,41,567,0.2112
00ac7f6caf6a57b97113e68fc5cc62bb,-7.78,10275,14603.9297,348.39,7174.93,21,541,0.5216
00ad5d342a7e06563cc0734cfd7ceaee,-11.31,12700,18616,427.72,1200,28,,0.278
00afb7e2314d660e949f222521b837ef,0,30650,33150,705.16,3000,22,540,0.3025
00b3bf221a9d390c24e0fe0759d14a09,-8.41,11025,13360,343.72,1700,21,465,0.4596
00b3fbd7d6d907bfcc85ff9fb7ffbeff,-4.56,12375,20195,494.32,3600.61,5,599,0.4084
00bd7e2b2d50e8e63d48965f5f293ce3,-10.68,14750,18579.4004,400.45,1000,26,640,0.2338
00bdcafcd75e6be32edcf314ba1bda5d,-3.98,13975,22691.2109,455.38,1000,6,,0
00be98392c439bb71f4570d829569ea5,0.8,20200,22532.6504,564.5,3970,8,494,0.4474
00c03cd0942fb8d75fa667cd4dec5553,-6.94,9600,14860,365.29,740,20,534,0.3423
00c3aa7614a0405570b0265237734573,-7.09,12775,17896.6895,418.84,1500,11,,0.5364
00d31e8be82d11aee502811873a83dd0,-4.42,17550,24266.2695,591.84,1800,25,,0.5522
00d413080aa9b2d1e5c71f58030e26df,-0.36,13500,17612,435.85,2500,13,,0.6059
00d4ea4bf22f73b85c6d4fe0efae8513,-0.42,11225,13782.4404,392.17,3500,10,430,0
00dd9211d5dd95ab6471982b8104153b,3.08,10475,13138.4404,327.12,3800,15,,0.0554
00e1a85f412928777c5a7afa7ba6d564,-6.88,9025,13975.4502,359.76,1400,30,585,0.3668
00e2e2f44c41061b6ded06d83859a368,-9.43,12000,17549.8594,461.45,3400,30,536,0.3218
